[2021-01-22T14:25:52.450Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:49.362Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:49.363Z] %c action     color: #03A9F4; font-weight: bold {"type":"EXPR_EDITOR_CONTENT_CHANGE","payload":{"name":"Expression","content":"import ballerina/http;\n\nservice on new http:Listener(8090) {\n    resource function get hello(http:Caller caller, http:Request req) {\n\nvar temp_Expression = \"hello world\";\n var tempVarTempVarTempVarAtEnd434 =  100;\n    }\n}\n","uri":"file:///apps/choreouser/sampleapi-nhmq4/project/choreo.bal"}} 
,[2021-01-22T14:26:49.363Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:49.417Z] LANG CLIENT ON MESSAGE :  "{\"jsonrpc\":\"2.0\",\"method\":\"textDocument/publishDiagnostics\",\"params\":{\"uri\":\"file:///apps/choreouser/sampleapi-nhmq4/project/choreo.bal\",\"diagnostics\":[]}}" 
,[2021-01-22T14:26:49.422Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:49.423Z] %c action     color: #03A9F4; font-weight: bold {"type":"DIAGRAM_SET_DIAGNOSTIC","payload":[]} 
,[2021-01-22T14:26:49.423Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:49.425Z] LANG CLIENT ON MESSAGE :  "{\"jsonrpc\":\"2.0\",\"id\":6,\"result\":[]}" 
,[2021-01-22T14:26:49.452Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:49.453Z] %c action     color: #03A9F4; font-weight: bold {"type":"EXPR_EDITOR_DIAGNOSTICS_CHANGE","payload":[]} 
,[2021-01-22T14:26:49.454Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:50.321Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:50.322Z] %c action     color: #03A9F4; font-weight: bold {"type":"EXPR_EDITOR_CLOSE"} 
,[2021-01-22T14:26:50.322Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:50.405Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:50.405Z] %c action     color: #03A9F4; font-weight: bold {"type":"DIAGRAM_PAN_LOCATION","payload":{"appId":"3328","panX":0,"panY":0}} 
,[2021-01-22T14:26:50.406Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:50.412Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:50.413Z] %c action     color: #03A9F4; font-weight: bold {"type":"DIAGRAM_SYNTAX_TREE_MUTATION_START","meta":{"id":"06aaccd4-67f2-453a-b70b-68de4a80ba95"}} 
,[2021-01-22T14:26:50.414Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:50.417Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:50.418Z] %c action     color: #03A9F4; font-weight: bold {"type":"CLOSE_CONFIG_OVERLAY_FORM"} 
,[2021-01-22T14:26:50.418Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:50.497Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:50.498Z] %c action     color: #03A9F4; font-weight: bold {"type":"REAL_TIME_ANALYSIS_FETCH_START"} 
,[2021-01-22T14:26:50.499Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:50.657Z] LANG CLIENT ON MESSAGE :  "{\"jsonrpc\":\"2.0\",\"id\":7,\"result\":{\"syntaxTree\":{\"imports\":[{\"kind\":\"ImportDeclaration\",\"importKeyword\":{\"kind\":\"ImportKeyword\",\"isToken\":true,\"value\":\"import\",\"position\":{\"startLine\":0,\"startColumn\":0,\"endLine\":0,\"endColumn\":6}},\"orgName\":{\"kind\":\"ImportOrgName\",\"orgName\":{\"kind\":\"IdentifierToken\",\"isToken\":true,\"value\":\"ballerina\",\"position\":{\"startLine\":0,\"startColumn\":7,\"endLine\":0,\"endColumn\":16}},\"slashToken\":{\"kind\":\"SlashToken\",\"isToken\":true,\"value\":\"/\",\"position\":{\"startLine\":0,\"startColumn\":16,\"endLine\":0,\"endColumn\":17}},\"source\":\"ballerina/\",\"position\":{\"startLine\":0,\"startColumn\":7,\"endLine\":0,\"endColumn\":17},\"typeData\":{\"symbol\":{\"name\":\"http\",\"moduleID\":{\"orgName\":\"ballerina\",\"moduleName\":\"http\",\"version\":\"1.0.4\"},\"kind\":\"MODULE\"},\"diagnostics\":[]}},\"moduleName\":[{\"kind\":\"IdentifierToken\",\"isToken\":true,\"value\":\"http\",\"position\":{\"startLine\":0,\"startColumn\":17,\"endLine\":0,\"endColumn\":21}}],\"semicolon\":{\"kind\":\"SemicolonToken\",\"isToken\":true,\"value\":\";\",\"position\":{\"startLine\":0,\"startColumn\":21,\"endLine\":0,\"endColumn\":22}},\"source\":\"import ballerina/http;\\n\",\"position\":{\"startLine\":0,\"startColumn\":0,\"endLine\":0,\"endColumn\":22},\"typeData\":{\"diagnostics\":[]}}],\"members\":[{\"kind\":\"ServiceDeclaration\",\"qualifiers\":[],\"serviceKeyword\":{\"kind\":\"ServiceKeyword\",\"isToken\":true,\"value\":\"service\",\"position\":{\"startLine\":2,\"startColumn\":0,\"endLine\":2,\"endColumn\":7}},\"absoluteResourcePath\":[],\"onKeyword\":{\"kind\":\"OnKeyword\",\"isToken\":true,\"value\":\"on\",\"position\":{\"startLine\":2,\"startColumn\":8,\"endLine\":2,\"endColumn\":10}},\"expressions\":[{\"kind\":\"ExplicitNewExpression\",\"newKeyword\":{\"kind\":\"NewKeyword\",\"isToken\":true,\"value\":\"new\",\"position\":{\"startLine\":2,\"startColumn\":11,\"endLine\":2,\"endColumn\":14}},\"typeDescriptor\":{\"kind\":\"QualifiedNameReference\",\"modulePrefix\":{\"kind\":\"IdentifierToken\",\"isToken\":true,\"value\":\"http\",\"position\":{\"startLine\":2,\"startColumn\":15,\"endLine\":2,\"endColumn\":19}},\"colon\":{\"kind\":\"ColonToken\",\"isToken\":true,\"value\":\":\",\"position\":{\"startLine\":2,\"startColumn\":19,\"endLine\":2,\"endColumn\":20}},\"identifier\":{\"kind\":\"IdentifierToken\",\"isToken\":true,\"value\":\"Listener\",\"position\":{\"startLine\":2,\"startColumn\":20,\"endLine\":2,\"endColumn\":28}},\"source\":\"http:Listener\",\"position\":{\"startLine\":2,\"startColumn\":15,\"endLine\":2,\"endColumn\":28},\"typeData\":{\"typeSymbol\":{\"name\":\"Listener\",\"moduleID\":{\"orgName\":\"ballerina\",\"moduleName\":\"http\",\"version\":\"1.0.4\"},\"typeKind\":\"typeReference\",\"kind\":\"TYPE\",\"signature\":\"ballerina/http:1.0.4:Listener\"},\"symbol\":{\"name\":\"Listener\",\"moduleID\":{\"orgName\":\"ballerina\",\"moduleName\":\"http\",\"version\":\"1.0.4\"},\"typeKind\":\"typeReference\",\"kind\":\"TYPE\",\"signature\":\"ballerina/http:1.0.4:Listener\"},\"diagnostics\":[]}},\"parenthesizedArgList\":{\"kind\":\"ParenthesizedArgList\",\"openParenToken\":{\"kind\":\"OpenParenToken\",\"isToken\":true,\"value\":\"(\",\"position\":{\"startLine\":2,\"startColumn\":28,\"endLine\":2,\"endColumn\":29}},\"arguments\":[{\"kind\":\"PositionalArg\",\"expression\":{\"kind\":\"NumericLiteral\",\"literalToken\":{\"kind\":\"DecimalIntegerLiteralToken\",\"isToken\":true,\"value\":\"8090\",\"position\":{\"startLine\":2,\"startColumn\":29,\"endLine\":2,\"endColumn\":33}},\"source\":\"8090\",\"position\":{\"startLine\":2,\"startColumn\":29,\"endLine\":2,\"endColumn\":33},\"typeData\":{\"typeSymbol\":{\"name\":\"int\",\"moduleID\":{\"orgName\":\"ballerina\",\"moduleName\":\"lang.annotations\",\"version\":\"1.0.0\"},\"typeKind\":\"int\",\"kind\":\"TYPE\",\"signature\":\"int\"},\"symbol\":{\"name\":\"Listener\",\"moduleID\":{\"orgName\":\"ballerina\",\"moduleName\":\"http\",\"version\":\"1.0.4\"},\"typeKind\":\"typeReference\",\"kind\":\"TYPE\",\"signature\":\"ballerina/http:1.0.4:Listener\"},\"diagnostics\":[]}},\"source\":\"8090\",\"position\":{\"startLine\":2,\"startColumn\":29,\"endLine\":2,\"endColumn\":33},\"typeData\":{\"typeSymbol\":{\"name\":\"int\",\"moduleID\":{\"orgName\":\"ballerina\",\"moduleName\":\"lang.annotations\",\"version\":\"1.0.0\"},\"typeKind\":\"int\",\"kind\":\"TYPE\",\"signature\":\"int\"},\"symbol\":{\"name\":\"Listener\",\"moduleID\":{\"orgName\":\"ballerina\",\"moduleName\":\"http\",\"version\":\"1.0.4\"},\"typeKind\":\"typeReference\",\"kind\":\"TYPE\",\"signature\":\"ballerina/http:1.0.4:Listener\"},\"diagnostics\":[]}}],\"closeParenToken\":{\"kind\":\"CloseParenToken\",\"isToken\":true,\"value\":\")\",\"position\":{\"startLine\":2,\"startColumn\":33,\"endLine\":2,\"endColumn\":34}},\"source\":\"(8090) \",\"position\":{\"startLine\":2,\"startColumn\":28,\"endLine\":2,\"endColumn\":34},\"typeData\":{\"typeSymbol\":{\"name\":\"Listener\",\"moduleID\":{\"orgName\":\"ballerina\",\"moduleName\":\"http\",\"version\":\"1.0.4\"},\"typeKind\":\"typeReference\",\"kind\":\"TYPE\",\"signature\":\"ballerina/http:1.0.4:Listener\"},\"symbol\":{\"name\":\"Listener\",\"moduleID\":{\"orgName\":\"ballerina\",\"moduleName\":\"http\",\"version\":\"1.0.4\"},\"typeKind\":\"typeReference\",\"kind\":\"TYPE\",\"signature\":\"ballerina/http:1.0.4:Listener\"},\"diagnostics\":[]}},\"source\":\"new http:Listener(8090) \",\"position\":{\"startLine\":2,\"startColumn\":11,\"endLine\":2,\"endColumn\":34},\"typeData\":{\"typeSymbol\":{\"name\":\"Listener\",\"moduleID\":{\"orgName\":\"ballerina\",\"moduleName\":\"http\",\"version\":\"1.0.4\"},\"typeKind\":\"typeReference\",\"kind\":\"TYPE\",\"signature\":\"ballerina/http:1.0.4:Listener\"},\"symbol\":{\"name\":\"Listener\",\"moduleID\":{\"orgName\":\"ballerina\",\"moduleName\":\"http\",\"version\":\"1.0.4\"},\"typeKind\":\"typeReference\",\"kind\":\"TYPE\",\"signature\":\"ballerina/http:1.0.4:Listener\"},\"diagnostics\":[]}}],\"openBraceToken\":{\"kind\":\"OpenBraceToken\",\"isToken\":true,\"value\":\"{\",\"position\":{\"startLine\":2,\"startColumn\":35,\"endLine\":2,\"endColumn\":36}},\"members\":[{\"kind\":\"ResourceAccessorDefinition\",\"qualifierList\":[{\"kind\":\"ResourceKeyword\",\"isToken\":true,\"value\":\"resource\",\"position\":{\"startLine\":3,\"startColumn\":4,\"endLine\":3,\"endColumn\":12}}],\"functionKeyword\":{\"kind\":\"FunctionKeyword\",\"isToken\":true,\"value\":\"function\",\"position\":{\"startLine\":3,\"startColumn\":13,\"endLine\":3,\"endColumn\":21}},\"functionName\":{\"kind\":\"IdentifierToken\",\"isToken\":true,\"value\":\"get\",\"position\":{\"startLine\":3,\"startColumn\":22,\"endLine\":3,\"endColumn\":25}},\"relativeResourcePath\":[{\"kind\":\"IdentifierToken\",\"isToken\":true,\"value\":\"hello\",\"position\":{\"startLine\":3,\"startColumn\":26,\"endLine\":3,\"endColumn\":31}}],\"functionSignature\":{\"kind\":\"FunctionSignature\",\"openParenToken\":{\"kind\":\"OpenParenToken\",\"isToken\":true,\"value\":\"(\",\"position\":{\"startLine\":3,\"startColumn\":31,\"endLine\":3,\"endColumn\":32}},\"parameters\":[{\"kind\":\"RequiredParam\",\"annotations\":[],\"typeName\":{\"kind\":\"QualifiedNameReference\",\"modulePrefix\":{\"kind\":\"IdentifierToken\",\"isToken\":true,\"value\":\"http\",\"position\":{\"startLine\":3,\"startColumn\":32,\"endLine\":3,\"endColumn\":36}},\"colon\":{\"kind\":\"ColonToken\",\"isToken\":true,\"value\":\":\",\"position\":{\"startLine\":3,\"startColumn\":36,\"endLine\":3,\"endColumn\":37}},\"identifier\":{\"kind\":\"IdentifierToken\",\"isToken\":true,\"value\":\"Caller\",\"position\":{\"startLine\":3,\"startColumn\":37,\"endLine\":3,\"endColumn\":43}},\"source\":\"http:Caller \",\"position\":{\"startLine\":3,\"startColumn\":32,\"endLine\":3,\"endColumn\":43},\"typeData\":{\"symbol\":{\"name\":\"http\",\"moduleID\":{\"orgName\":\"ballerina\",\"moduleName\":\"http\",\"version\":\"1.0.4\"},\"kind\":\"MODULE\"},\"diagnostics\":[]}},\"paramName\":{\"kind\":\"IdentifierToken\",\"isToken\":true,\"value\":\"caller\",\"position\":{\"startLine\":3,\"startColumn\":44,\"endLine\":3,\"endColumn\":50}},\"source\":\"http:Caller caller\",\"position\":{\"startLine\":3,\"startColumn\":32,\"endLine\":3,\"endColumn\":50},\"typeData\":{\"isEndpoint\":true,\"symbol\":{\"name\":\"http\",\"moduleID\":{\"orgName\":\"ballerina\",\"moduleName\":\"http\",\"version\":\"1.0.4\"},\"kind\":\"MODULE\"},\"diagnostics\":[]}},{\"kind\":\"CommaToken\",\"isToken\":true,\"value\":\",\",\"position\":{\"startLine\":3,\"startColumn\":50,\"endLine\":3,\"endColumn\":51}},{\"kind\":\"RequiredParam\",\"annotations\":[],\"typeName\":{\"kind\":\"QualifiedNameReference\",\"modulePrefix\":{\"kind\":\"IdentifierToken\",\"isToken\":true,\"value\":\"http\",\"position\":{\"startLine\":3,\"startColumn\":52,\"endLine\":3,\"endColumn\":56}},\"colon\":{\"kind\":\"ColonToken\",\"isToken\":true,\"value\":\":\",\"position\":{\"startLine\":3,\"startColumn\":56,\"endLine\":3,\"endColumn\":57}},\"identifier\":{\"kind\":\"IdentifierToken\",\"isToken\":true,\"value\":\"Request\",\"position\":{\"startLine\":3,\"startColumn\":57,\"endLine\":3,\"endColumn\":64}},\"source\":\"http:Request \",\"position\":{\"startLine\":3,\"startColumn\":52,\"endLine\":3,\"endColumn\":64},\"typeData\":{\"symbol\":{\"name\":\"http\",\"moduleID\":{\"orgName\":\"ballerina\",\"moduleName\":\"http\",\"version\":\"1.0.4\"},\"kind\":\"MODULE\"},\"diagnostics\":[]}},\"paramName\":{\"kind\":\"IdentifierToken\",\"isToken\":true,\"value\":\"req\",\"position\":{\"startLine\":3,\"startColumn\":65,\"endLine\":3,\"endColumn\":68}},\"source\":\"http:Request req\",\"position\":{\"startLine\":3,\"startColumn\":52,\"endLine\":3,\"endColumn\":68},\"typeData\":{\"symbol\":{\"name\":\"http\",\"moduleID\":{\"orgName\":\"ballerina\",\"moduleName\":\"http\",\"version\":\"1.0.4\"},\"kind\":\"MODULE\"},\"diagnostics\":[]}}],\"closeParenToken\":{\"kind\":\"CloseParenToken\",\"isToken\":true,\"value\":\")\",\"position\":{\"startLine\":3,\"startColumn\":68,\"endLine\":3,\"endColumn\":69}},\"source\":\"(http:Caller caller, http:Request req) \",\"position\":{\"startLine\":3,\"startColumn\":31,\"endLine\":3,\"endColumn\":69},\"typeData\":{\"diagnostics\":[]}},\"functionBody\":{\"kind\":\"FunctionBodyBlock\",\"openBraceToken\":{\"kind\":\"OpenBraceToken\",\"isToken\":true,\"value\":\"{\",\"position\":{\"startLine\":3,\"startColumn\":70,\"endLine\":3,\"endColumn\":71}},\"statements\":[{\"kind\":\"LocalVarDecl\",\"annotations\":[],\"typedBindingPattern\":{\"kind\":\"TypedBindingPattern\",\"typeDescriptor\":{\"kind\":\"VarTypeDesc\",\"name\":{\"kind\":\"VarKeyword\",\"isToken\":true,\"value\":\"var\",\"position\":{\"startLine\":5,\"startColumn\":8,\"endLine\":5,\"endColumn\":11}},\"source\":\"\\n        var \",\"position\":{\"startLine\":5,\"startColumn\":8,\"endLine\":5,\"endColumn\":11},\"typeData\":{\"diagnostics\":[]}},\"bindingPattern\":{\"kind\":\"CaptureBindingPattern\",\"variableName\":{\"kind\":\"IdentifierToken\",\"isToken\":true,\"value\":\"res\",\"position\":{\"startLine\":5,\"startColumn\":12,\"endLine\":5,\"endColumn\":15}},\"source\":\"res \",\"position\":{\"startLine\":5,\"startColumn\":12,\"endLine\":5,\"endColumn\":15},\"typeData\":{\"symbol\":{\"name\":\"res\",\"moduleID\":{\"orgName\":\"choreouser\",\"moduleName\":\"sampleapi_nhmq4\",\"version\":\"0.1.0\"},\"deprecated\":false,\"kind\":\"VARIABLE\"},\"diagnostics\":[]}},\"source\":\"\\n        var res \",\"position\":{\"startLine\":5,\"startColumn\":8,\"endLine\":5,\"endColumn\":15},\"typeData\":{\"diagnostics\":[]}},\"equalsToken\":{\"kind\":\"EqualToken\",\"isToken\":true,\"value\":\"\\u003d\",\"position\":{\"startLine\":5,\"startColumn\":16,\"endLine\":5,\"endColumn\":17}},\"initializer\":{\"kind\":\"StringLiteral\",\"literalToken\":{\"kind\":\"StringLiteralToken\",\"isToken\":true,\"value\":\"\\\"hello world\\\"\",\"position\":{\"startLine\":5,\"startColumn\":18,\"endLine\":5,\"endColumn\":31}},\"source\":\"\\\"hello world\\\"\",\"position\":{\"startLine\":5,\"startColumn\":18,\"endLine\":5,\"endColumn\":31},\"typeData\":{\"diagnostics\":[]}},\"semicolonToken\":{\"kind\":\"SemicolonToken\",\"isToken\":true,\"value\":\";\",\"position\":{\"startLine\":5,\"startColumn\":31,\"endLine\":5,\"endColumn\":32}},\"source\":\"\\n        var res \\u003d \\\"hello world\\\";\\n\",\"position\":{\"startLine\":5,\"startColumn\":8,\"endLine\":5,\"endColumn\":32},\"typeData\":{\"diagnostics\":[]}}],\"closeBraceToken\":{\"kind\":\"CloseBraceToken\",\"isToken\":true,\"value\":\"}\",\"position\":{\"startLine\":6,\"startColumn\":4,\"endLine\":6,\"endColumn\":5}},\"source\":\"{\\n\\n        var res \\u003d \\\"hello world\\\";\\n    }\\n\",\"position\":{\"startLine\":3,\"startColumn\":70,\"endLine\":6,\"endColumn\":5},\"typeData\":{\"diagnostics\":[]},\"VisibleEndpoints\":[{\"name\":\"caller\",\"isCaller\":true,\"typeName\":\"Caller\",\"orgName\":\"ballerina\",\"moduleName\":\"http\"}]},\"source\":\"    resource function get hello(http:Caller caller, http:Request req) {\\n\\n        var res \\u003d \\\"hello world\\\";\\n    }\\n\",\"position\":{\"startLine\":3,\"startColumn\":4,\"endLine\":6,\"endColumn\":5},\"typeData\":{\"diagnostics\":[]}}],\"closeBraceToken\":{\"kind\":\"CloseBraceToken\",\"isToken\":true,\"value\":\"}\",\"position\":{\"startLine\":7,\"startColumn\":0,\"endLine\":7,\"endColumn\":1}},\"source\":\"\\nservice on new http:Listener(8090) {\\n    resource function get hello(http:Caller caller, http:Request req) {\\n\\n        var res \\u003d \\\"hello world\\\";\\n    }\\n}\\n\",\"position\":{\"startLine\":2,\"startColumn\":0,\"endLine\":7,\"endColumn\":1},\"typeData\":{\"diagnostics\":[]}}],\"eofToken\":{\"kind\":\"EofToken\",\"isToken\":true,\"value\":\"\",\"position\":{\"startLine\":8,\"startColumn\":0,\"endLine\":8,\"endColumn\":0}},\"source\":\"import ballerina/http;\\n\\nservice on new http:Listener(8090) {\\n    resource function get hello(http:Caller caller, http:Request req) {\\n\\n        var res \\u003d \\\"hello world\\\";\\n    }\\n}\\n\",\"kind\":\"ModulePart\",\"position\":{\"startLine\":0,\"startColumn\":0,\"endLine\":7,\"endColumn\":1},\"typeData\":{\"diagnostics\":[]}},\"source\":\"import ballerina/http;\\n\\nservice on new http:Listener(8090) {\\n    resource function get hello(http:Caller caller, http:Request req) {\\n\\n        var res \\u003d \\\"hello world\\\";\\n    }\\n}\\n\",\"parseSuccess\":true}}" 
,[2021-01-22T14:26:50.847Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:26:50.854Z] %c action     color: #03A9F4; font-weight: bold {"type":"FILE_SAVE_SUCCESS","payload":{"type":"file","path":"/apps/choreouser/sampleapi-nhmq4/project/choreo.bal","size":"175","content":"aW1wb3J0IGJhbGxlcmluYS9odHRwOwoKc2VydmljZSBvbiBuZXcgaHR0cDpMaXN0ZW5lcig4MDkwKSB7CiAgICByZXNvdXJjZSBmdW5jdGlvbiBnZXQgaGVsbG8oaHR0cDpDYWxsZXIgY2FsbGVyLCBodHRwOlJlcXVlc3QgcmVxKSB7CgogICAgICAgIHZhciByZXMgPSAiaGVsbG8gd29ybGQiOwogICAgfQp9Cg==","files":[]}} 
,[2021-01-22T14:26:50.856Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:26:50.946Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
